C2.5.2OEB,Onshore EWS Backuo,BPUAVZ,PONZ,Backup-Server,Onshore-EWS,TCP/7755-7756 TCP/7765 TCP/7780 TCP/9852 TCP/9860 TCP/9862 TCP/9876 TCP/9877,ACRONIS,Backup of the onshore EWS,Bidirectional,,2.5,2
C2.5.2OEB,Onshore EWS Backuo,BPUAVZ,PONZ,Backup-Server,Offshore-EWS,TCP/7755-7756 TCP/7765 TCP/7780 TCP/9852 TCP/9860 TCP/9862 TCP/9876 TCP/9877,ACRONIS,Backup of the onshore EWS,Bidirectional,,2.5,2
C2.5.2OEP,Onshore EWS Patching,BPUAVZ,PONZ,Management-server,Onshore-EWS,TCP/8530-8531,WSUS,Conduit for the onshore EWS to receive windows patches from the WSUS server.,,,2.5,2
C2.5.2OEA,Onshore EWS Antivirus,BPUAVZ,PONZ,Management-server,Onshore-EWS,TCP/82 TCP/8081 TCP/808 TCP/8181 TCP/8282 TCP/8444,TRELLIX,Conduit for onshore EWS to request and receive antivirus patches and updates from the ePO server,Bidirectional,,2.5,2
C2.5.2.5OUSB,Edgenius Server Backup Conduit,EZ,BPUAVZ,Edgenius-zone,Backup-Server,TCP/22,SSH,Backup of Edgenius configurations,,,2.5,2.5
C2.5.2.5OUSA,Edgenius Server Antivirus Conduit,EZ,BPUAVZ,Edgenius-zone,Management-server,TCP/22 TCP/443,SSH HTTPS,Antivirus for Edgenius Redhat Linux Rhel,,,2.5,2.5
C2.5.2.5OUSP,Edgenius Patch Conduit,EZ,BPUAVZ,Edgenius-zone,Management-server,TCP/22 TCP/443,SSH HTTPS,Patching of Edgenius Redhat Linux Rhel,,,2.5,2.5
C2.5.2.5OUSP_2,Edgenius Remote Access Conduit,RAZ,EZ,Remote-Access,Edgenius-zone,TCP/3381,RDP,Remote Access to Edgenius servers,,,2.5,2.5
C2.2.5EDT,Edgenius Data Transfer,POZ,EZ,Process-Operation-Zone,Edgenius-zone,TCP/8883 TCP/9002 TCP/30007,MQTT with authentication SSL (x509 Cert.),Data sendt to Egenius from 800xA publisher system extension to 800xA system,Added: RR 20230908,,2,2.5
C2.3TDIMS,Edgenius OFTO Historian GW Conduit,POZ,EZ,Process-Operation-Zone,OFTO-Historian-GW,TCP/4840 TCP/30080,OPCUA,Data fetched by OFTO Historian (Reverse proxy Traefik cert.),Bidirectional,,2,3
C2.2.5ESB,ESXI & Switch Backup,BPUAVZ,ESAZ,Backup-Server,ESXi-host-Switch-Management-PC,TCP/7755-7756 TCP/7765 TCP/7780 TCP/9852 TCP/9860 TCP/9862 TCP/9876 TCP/9877,ACRONIS,Backup of the ESXi hosts (configuration file) and the switch management workstation (and switch configuration files). ,Bidirectional,,2,2.5
C2.5.2.5ESAU,ESXi & Switch Antivirus update,BPUAVZ,ESAZ,Management-server,ESXi-host-Switch-Management-PC,TCP/82 TCP/8081 TCP/808 TCP/8181 TCP/8282 TCP/8444,TRELLIX,Antivirus updates for the ESXi hosts and Switch management WS.,Bidirectional,,2.5,2.5
